Index,Disruption Date,Location,Type,Description,Cause,Closed Date
868,06/25/2025,Strait Of Hormuz,Marine,"USER: Date and Time: 25 June 2025 / 11:45 LT / 07:45 UTC Ship’s Position: Lat – 26 28.3 N; Long – 056 42.4 E Ship’s heading: 343 Ship’s speed: 12.0 Knots At 11:45 LT on 25 June, the vessel lost position from both GPS receivers due to spoofing. At 09:46 LT on 26 June at PNS: 24 37.7N 054 27.5E GPS signal recovered and under monitoring with comparison of landmarks.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/07/2025
854,06/16/2025,GULF OF OMAN,Marine,"USER: The vessel experienced GPS interference on both operational GPS units while transiting the Gulf of Oman. The GPS positions were observed to be jumping consistently to one particular location on land (25°48'N 059°53'E).
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/23/2025
855,06/16/2025,GULF OF OMAN,Marine,"USER: Vessel lost GPS position fix about 3 minutes.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/23/2025
856,06/15/2025,Persian Gulf,Marine,"USER: Our vessel experienced disruption to all electronic navigation systems (GPS / AIS / RADARs / ECDIS) 15th of June 2025 at 1210 hrs lt / 0910 hrs utc and the signal was completely lost in position: Lat – 26 29.60N / Long – 051 02.16E (off Bahrain Coast).
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/23/2025
857,06/15/2025,Persian Gulf,Marine,"USER: From time to time, AIS signal of the ship is appearing on the coast of Iran, which we hereby declare that it is incorrect.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/23/2025
858,06/15/2025,Persian Gulf,Marine,"USER: Please kindly be noted on 15th of June, 2025 at 15:55 UTC our good lady got disruption of GPS signal at both DGPS stations where our vsl. now is showing in PSN: LAT 52 08.8 N / LONG 035 40.7 E which means somewhere in East Europe, instead of real position: LAT 26 50.4 N / LONG 051 14.8 E – Bahrain OPL.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/23/2025
860,06/13/2025,"Gdynia, Poland",Transportation,"USER: The vessel Three commercial (two FURONO and one AIS) GPS units and encrypted (WRN-6) GPS experienced Jamming from 13 Jun 2025 to 16 Jun 2025. The vessel reinitialized the system but it did not resolve the issue.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/30/2025
848,05/31/2025,"Yanbu, Saudi Arabia",Marine,"USER: GPS Interference (Jamming and Spoofing) continuously happening in the area, mostly south of Yanbu with irregular intervals
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/03/2025
847,05/28/2025,"New Bedford, MA",Marine,"USER: Intermittently for the last several weeks boats have been loosing all satellites on all makes/models of GPS receivers. When the vessels exit the harbor or wait, the signals are received again.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/02/2025
846,05/25/2025,"Yanbu, Saudi Arabia",Marine,"USER: Very significant GPS jamming near Yanbu Port, KSA
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/02/2025
843,05/23/2025,"Port Sudan, Sudan",Marine,"USER: Kindly be informed we have GPS disturbance, (jamming and spoofing) in red sea.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/27/2025
844,05/23/2025,"Yanbu, Saudi Arabia",Marine,"USER: Vessel Currently at Yanbu South Entrance ETB 27 May 2025 / 1900 LT. Vessel lost GPS Data COG/SOG /position is wrong
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/27/2025
845,05/23/2025,Bab al-Mandab Strait,Marine,"USER: During the passage through the BDM to Jeddah, all GPS receivers on board lost signal at short intervals of approximately 2 hours. The interference was also confirmed by other vessels in the area.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/27/2025
840,05/19/2025,"Port Khalifa, Abu Dhabi",Marine,"USER: GPS jamming occurred for approximately 25 minutes in the vicintiy of Abu Dhabi Pilot Station.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/23/2025
841,05/19/2025,"Khalifa Port, Abu Dhabi",Marine,"USER: GPS jamming occurred for approximately 25 minutes in the vicintiy of Abu Dhabi Pilot Station.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/27/2025
842,05/19/2025,"Yanbu, Saudi Arabia",Marine,"USER: We have observed continuous GPS disruption in the Yanbu area, which has persistent. This is consistent with our previous call at Yanbu, where similar interference was experienced. Given the recurrence and duration of the disruptions, we presume that GPS jamming and/or spoofing activities are ongoing in the region. Bridge team has been advised to exercise increased vigilance, and alternative means of position fixing are being utilized to ensure navigational safety.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/27/2025
838,05/17/2025,"Jeddah, Saudi Arabia",Marine,"USER: We are navigating in the Red Sea and experiencing a loss of GPS Signal in both receivers and finding it hard to navigate.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/23/2025
837,05/14/2025,"Jeddah, Saudi Arabia",Marine,"USER: While sailing at red sea GPS signal lost occasionally
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/19/2025
835,05/13/2025,"Mastorah, Saudi Arabia",Marine,"USER: Vessel heading 014 degree, Drifting, with speed 0.6 knots at position Lat: 22-48.7 N, Long. 038-08.5 E
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",,05/19/2025
832,05/09/2025,"Almojermah, Saudi Arabia",Marine,"USER: GPS Disruption Commenced at1415LT (1115 UTC) in position: 19-23 N , 037-39,1 E Vessel was heading on True course 336 Degrees and speed 12.7 kts GPS indicating incorrect Date, Position, speed and course
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/19/2025
833,05/09/2025,"Yanbu, Saudi Arabia",Marine,"USER: GPS showing wrong position as 19 26.9N / 037 07.2E
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/19/2025
831,05/08/2025,"Farasan Island, Saudi Arabia",Marine,"USER: GPS Disruption Commenced at1940LT (1640 UTC) in position: 16-44 N , 040-49 E Vessel was heading on True course 328 Degrees and speed 12.7 kts
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/19/2025
828,05/07/2025,"Perim Island, Yemen",Marine,"USER: GPS Disruption occurred at 2240 LT (1940 UTC) In position 12-39.3 N , 043-20.3 E, Vessel was heading on true course of 335 degrees and speed 13.0 kts. the Disruption occurred 1 time with interval of 3 to 5 minutes. the GPS units resumed normal functioning at 2243 LT (1943 UTC) .
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/12/2025
824,04/27/2025,"Rowy, Poland",Marine,"USER: Spoofing continues in the area Baltyk wind 2 and 3. From yesterday the spoofing also killed GLONASS so the vessel was ""blind"" and are still blind now 24 hours after it started.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/05/2025
823,04/20/2025,"Jazan, Saudi Arabia",Marine,USER: Kindly be advised that we have experienced GPS spoofing while transiting the Jizan channel. The GPS signal was erratically spoofing for short periods.,Unknown Interference,04/28/2025
821,04/15/2025,"Yanbu, Saudi Arabia",Marine,"USER: This is to inform you that vessel KHUZAMA has encountered loss of GPS position fix for about 9 hrs during drifting off Yanbu South OPL, Transiting Yanbu South channel.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/21/2025
820,04/10/2025,"Aqaba, Jordan",Marine,"USER: Please note that vessel is having GPS intermittent disruptions while in Aqaba port limits. Disruptions last for approx 1 to 2 minutes and than coming back to normal.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/14/2025
819,04/09/2025,"Yanbu, Saudi Arabia",Marine,"USER: This is to inform you that vessel KHUZAMA has encountered loss of GPS position fix for about 15 minutes during drifting off Yanbu South outer Pilot station.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/14/2025
816,04/01/2025,"Yanbu, Saudi Arabia",Marine,"USER: Loss of GPS Signal
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",,04/07/2025
815,03/29/2025,"Yanbu, Saudi Arabia",Marine,"USER: At 04:06 LT on 29 March 2025, the vessel lost position from both GPS receivers due to spoofing. Both GPS have been restarted and the GPS signal recovered at 07:00 LT in position Lat – 23 24.0 N; Long – 038 12.0 E. No further assistance required.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/07/2025
814,03/25/2025,"Jeddah, Saudi Arabia",Marine,"USER: Intermittent Loss of GPS Signal
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/07/2025
813,03/16/2025,"Albany, NY",Other,"USER: Between 3:30 and 5:30 GPS positional system was offset by as much as two miles. Driving from home to north Albany NY restaurant placed destination 5 miles north of actual location. After dinner, 5:00-5:3o pm, GPS remained wildly different. When I arrived home, I reset GPS and it said my house (when I was in driveway) was 2 miles away!
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,03/24/2025
809,03/15/2025,"Yanbu, Saudi Arabia",Marine,"USER: Large GPS position offset occured 290 NM from true position. Fault position recieved 19 06.6N / 037 14.2E, True position 23 55.0 N / 037 29.2 E. GPS speed variations occured from 0 to 40 knots. One of the GPS receivers lost all satelites and HDOP 1. Disruption continues more than 1 hour.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,03/17/2025
810,03/15/2025,"Jeddah, Saudi Arabia",Marine,"USER: At 19:05 LT on 15 March, the vessel lost position from both GPS receivers due to spoofing. GPS Psn after disruption: Lat 19 05.5 N; Long 037 14.2 E Both GPS receivers have been restarted, However the problem persist.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,03/24/2025
807,03/10/2025,"Yanbu, Saudi Arabia",Marine,"USER: This is to inform you that vessel KHUZAMA has encountered loss of GPS position fix for about 30 minutes during drifting off Yanbu South outer Pilot station. Date: 10th March 2025 Start of GPS disruption: 0725 LT / 0425 UTC – Position: Lat 23° 14.2’N ; Long 038° 15.8’E End of GPS disruption: 0755 LT / 0455 UTC - Position: Lat 23° 13.6’N ; Long 38° 15.7’E Duration: 30 minutes
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,03/17/2025
806,03/07/2025,"Asheville, NC",Automobile,"USER: The GPS showed our location about a mile off of the highway (I-26 west and I-40 west) and constantly moved from a mile one side of the highway to a mile the other side of the highway. It was exactly the same regardless if we used Waze, Apple Maps, or installed car GPS.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,03/17/2025
805,03/05/2025,"Jeddah, Saudi Arabia",Marine,"USER: On the 05 March 2025 at 19:10 UTC in position 21 44.9 N and 038 25.5 E, the vessel lost the GPS signal. After restarting both GPS, the signal has been recovered for GPS No 2 at 19:30 UTC and GPS No 1 recovered at 19:45 UTC. At 20:15 UTC, in position 21 33.1 N, 038 27.8 E, GPS No 2 was jamming, showing erratically erroneous position. On 06 Mar 2025 at 02:45 UTC, in position 20 27.0 N, 039 01.9 E, Both GPS shows correct position without jamming or spoofing
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,03/17/2025
803,02/27/2025,"Newport Beach, CA",Automobile,"USER: While driving from Santa Clarita to Newport Beach on the 405 freeway heading south… All of a sudden my GPS on my iPhone 16 Pro Max started telling me to turn left. It was showing my location as somewhere different than where I actually was on the freeway. I couldn’t correct it so I thought the phone was malfunctioning. I opened my other phone that I have for work, which is an iPhone 16 Pro. I turned on the GPS and put in my destination and it began to do the same thing. I turned both of those phones off. I pulled over. And set the navigation system in my vehicle which is a 2022 Audi Q5 plug-in, hybrid, electric vehicle. It began to do the same thing. I called my wife and she was tracking my location on her phone. She was tracking me using my iPhone 16 Pro Max. According to what she could see, I was in a different place than where I actually was. Those details kept changing as well. At one point I was on Culver and university, and she was showing me at the John Wayne airport. I was finally able to find my destination by pulling over, putting in an address, and putting in a destination. I did not follow the GPS, but I followed the written directions to get to my location. I finally arrived at my destination sometime around 10:30 PM. I don’t see how this could have been my equipment because three completely separate devices with GPS trackers failed simultaneously. Two different telephones, which are on two different accounts, and an automobile that is a high-end luxury vehicle. There had to have been some sort of an anomaly in the area with the actual satellite, or through The Coast Guard, GPS navigation center.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,03/17/2025
796,02/05/2025,"Oulu, Finland",Timing,"USER: We have nowadays observations with some of GNSS receiver type that PPS is deviated few hundred nanoseconds every 25 minutes, PPS deviation lasting each time 1 minute. This is repeated continuously according to 25minute period. Issue can be seen by using GPS satellite system. Question would be that has it done some modification to GPS satellite broadcast, almanac, etc. which could get GNSS receiver work like explained.
NAVCEN: User equipment is an L1 only receiver which does not measure and remove ionospheric signal delays as well as a dual-frequency receiver. Reported issue is consistent with timing delays due to changes in the ionosphere as the sun moves through the sky.",User Equipment,02/10/2025
794,02/01/2025,Gulf of Oman,Marine,"USER: Please note that Vsl’s both GPS are showing intemittent alart as ‘215:Differential Integrity Status’ since the time Vsl entered Arabian Gulf Area. 1st alert received on 01 Feb 2025//EAM hrs.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,02/10/2025
792,01/24/2025,"Meridian, ID",First Responder,"USER: This fire battalion chief has been unable to establish a GPS connection using their installed Cradlepoint router. We (IT) switched to the MDT onboard GPS and were still not able to get a GPS fix. The GPS software indicated 0 satellites connected, but 1 was blipping in and out. This occurred while driving around the City as well as while parked at the station.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,01/27/2025
789,01/10/2025,"Los Angeles, CA",Other,"USER: Four separate jammer events occurred between 14:29-15:53 UTC (06:29-07:53 PST). Each event knocked out all GPS satellite tracking and acquisition for several minutes each. Arrival angles indicate jammers were vehicle born, likely on the Terminal Is freeway.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,01/20/2025
787,01/02/2025,"Fujairah, United Arab Emirates",Marine,"USER: While at anchor Fujairah Offshore Anchorage GPS signal repeatedly lost off and on continuously for one hour. Multiple satellites both GPS and SBAS locked on at the time off occurrence - all signal would be lost from all satellites. Earlier issues with GPS signal were experienced while alongside the dock in Fujairah. PDOP 1.3 at time of disturbances. RAIM was Safe at time of disturbances.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,01/13/2025
