Disruption Date/Time,Location,Type,Description,Cause,Closed Date,User,NAVCEN,local_date,location_country_state_or_detail,location_country_state_or_locode,user_country_state_or_detail,user_country_state_or_locode,coalesce,coalesced_country
08/17/2022 00:08:31 GMT,"KAMSAR, GUINEA, WEST AFRICA",Marine,"User indicated an intermittent problem that was otherwise unspecified. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,08/23/2022,User indicated an intermittent problem that was otherwise unspecified. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",2022-08-17,GN KMC,GN,,,GN KMC,GN
08/15/2022 18:00:00 PST,"Santa Clara, California. West of Bracher Park",Transportation,"USER: I go buy a specific block in my neighborhood where my GPS tends to get disrupted or blocked. I have screenshots and maps of locations of the area where GPS is being blocked by something. It has been this way for a few months. Both my GPS watch and a GPS Testing app on my phone report issues when entering the area listed above. On the app, I had 38 satellites in use connected and it dropped to 12 in the dead zone. I suspect something in the area is disrupting GPS tracking as it's an open neighborhood next to a park. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners or users. No response to request for additional information.",Insufficient Information,10/25/2022,"USER: I go buy a specific block in my neighborhood where my GPS tends to get disrupted or blocked. I have screenshots and maps of locations of the area where GPS is being blocked by something. It has been this way for a few months. Both my GPS watch and a GPS Testing app on my phone report issues when entering the area listed above. On the app, I had 38 satellites in use connected and it dropped to 12 in the dead zone. I suspect something in the area is disrupting GPS tracking as it's an open neighborhood next to a park. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners or users. No response to request for additional information.",2022-08-15,US CA,US CA,,,US CA,US
08/02/2022 09:00:00 EST,Cumberland Gap,Automobile,"USER: Our car navigation system and our mobile phone's GPS all indicated loss of GPS signal intermittently over the course of 10 miles. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners or users.",Insufficient Information,09/13/2022,USER: Our car navigation system and our mobile phone's GPS all indicated loss of GPS signal intermittently over the course of 10 miles. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners or users.",2022-08-02,CA OCL,,,,CA OCL,CA
07/30/2022 23:45:00 Eastern African Time,Straits of Hormuz,Marine,"USER: Vessel experienced GPS outage while transiting Hormuz Strait West bound . NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,08/23/2022,USER: Vessel experienced GPS outage while transiting Hormuz Strait West bound . ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",2022-07-30,IR HOR,FJ 11,,,IR HOR,IR
07/22/2022 11:30:00 PST,"Fontana, CA",Automobile,"USER: Google maps and Garmin satellite reception are continuously being interrupted NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners or users.",Insufficient Information,08/23/2022,USER: Google maps and Garmin satellite reception are continuously being interrupted ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners or users.",2022-07-22,US CA,US CA,,,US CA,US
07/18/2022 21:00:00 PST,CA-89 N from Tahoma to Truckee and then I-80 W,Automobile,"USER: For most of the drive from Tahoma to Truckee to San Francisco, our position was being reported by the GPS as being roughly 200-500 feet away from our actual location which caused both nav system and Google maps directions to continually recalculate directions because it did not think we were on either CA-89 or I-80. While we were on I-80, the reports were generally south of our location although there were some occasions where it was reported north (generally it seemed having trouble determining our exact latitude). Occasionally, the GPS would briefly report our current actual location and then it would drift off after a few minutes. The disruption lasted from 9pm PDT when we left Tahoma to 1am PDT when we arrived in San Francisco. It was the first time in years of using GPS nav systems that I observed any errors. It was also very strange that this lasted for hours. NAVCEN: No correlating reports from other users, sent data mapping information.",Mapping Issue,08/23/2022,"USER: For most of the drive from Tahoma to Truckee to San Francisco, our position was being reported by the GPS as being roughly 200-500 feet away from our actual location which caused both nav system and Google maps directions to continually recalculate directions because it did not think we were on either CA-89 or I-80. While we were on I-80, the reports were generally south of our location although there were some occasions where it was reported north (generally it seemed having trouble determining our exact latitude). Occasionally, the GPS would briefly report our current actual location and then it would drift off after a few minutes. The disruption lasted from 9pm PDT when we left Tahoma to 1am PDT when we arrived in San Francisco. It was the first time in years of using GPS nav systems that I observed any errors. It was also very strange that this lasted for hours. ",": No correlating reports from other users, sent data mapping information.",2022-07-18,US TKF,,,,US TKF,US
07/03/2022 10:00:00 EST,"Auburn, MA",Transportation,USER: All online mapping services were unavailable. Tried multiple websites and apps on several devices. Other vehicles in the vicinity had similar issues. NAVCEN No correlating reports. Sent data mapping information.,Mapping Issue,08/23/2022,USER: All online mapping services were unavailable. Tried multiple websites and apps on several devices. Other vehicles in the vicinity had similar issues. , No correlating reports. Sent data mapping information.,2022-07-03,US MA,US MA,,,US MA,US
06/25/2022 06:50:00 CST,"Crawfordsville, Iowa",Communications,"USER: The satellite radio does not work and the map location is off by a few hundred feet. NAVCEN Recommend contacting service provider for satellite radio if it does not correct itself, no reports from other users.",Insufficient Information,07/06/2022,USER: The satellite radio does not work and the map location is off by a few hundred feet. ," Recommend contacting service provider for satellite radio if it does not correct itself, no reports from other users.",2022-06-25,US CF6,US IA,,,US CF6,US
06/15/2022 00:30:00 EEST,Mediterranean Sea ( North of Libya & south of Greece ),Marine,"USER: Both GPS no. 1 & no. 2 alarm keep coming, screen show's 'GPS LOSS OF POSITION' & GPS No. 1 screen show's ' AUG 17, 19 00:00 (U) WARNING RECTIFIED, GPS LOSS OF POSITION"" , Vessel called other ship in vicinity and asked regarding the status of their GPS, same problem that they are facing with their GPS, GPS alarm keep coming for about 1hr, @ about 15 Jun 2330 UTC / 16 Jun 0130 LT, both GPS become stable. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,07/06/2022,"USER: Both GPS no. 1 & no. 2 alarm keep coming, screen show's 'GPS LOSS OF POSITION' & GPS No. 1 screen show's ' AUG 17, 19 00:00 (U) WARNING RECTIFIED, GPS LOSS OF POSITION"" , Vessel called other ship in vicinity and asked regarding the status of their GPS, same problem that they are facing with their GPS, GPS alarm keep coming for about 1hr, @ about 15 Jun 2330 UTC / 16 Jun 0130 LT, both GPS become stable. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",2022-06-15,GR,GR,,,GR,GR
06/14/2022 12:08:31 China Taiwan Time,Gulei,Marine,"USER: ""No Fix"" displayed on screen NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,07/06/2022,"USER: ""No Fix"" displayed on screen ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",2022-06-14,CN GLE,,,,CN GLE,CN
06/13/2022 00:08:31 Middle East Time,Abu Musa Island,Marine,"Merchant ship departed Das Island and was outbound Strait of Hormuz. Ship informs as they approached Dubai area they experienced loss of GPS signal. It took 4 hours before signal was back. Ship reports other ships informing on VF 16 channel that they too have lost GPS signal. Ship informs losing GPS signal in all systems and receivers (GPS, Sat C, Satellite Log, AIS). GPS signal would come back for a minute however it would show wrong location and back at Das Island. Ship informs total of 4 hours experienced without GPS. All GPS issues started 2 hours before passing ABU MUSA Island and 2 hours after passing ABU MUSA Island. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,08/23/2022,"Merchant ship departed Das Island and was outbound Strait of Hormuz. Ship informs as they approached Dubai area they experienced loss of GPS signal. It took 4 hours before signal was back. Ship reports other ships informing on VF 16 channel that they too have lost GPS signal. Ship informs losing GPS signal in all systems and receivers (GPS, Sat C, Satellite Log, AIS). GPS signal would come back for a minute however it would show wrong location and back at Das Island. Ship informs total of 4 hours experienced without GPS. All GPS issues started 2 hours before passing ABU MUSA Island and 2 hours after passing ABU MUSA Island. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",2022-06-13,AE AMU,MT 20,,,AE AMU,AE
06/09/2022 07:18:00 PST,"Elko, NV",Automobile,"USER: Drove from Wells NV to Livermore CA. All three of my GPS units experienced major off-track (hundreds of feet horizontal) offset errors, and my GPS logger recorded +5000-ft to -2000-ft altitude errors. Speed was at times reported at HALF the actual speed. This was a MAJOR disruption recorded on three independent GPS units. The time and coords I report are for the greatest elevation error (reported me at 10000-ft altitude in Elko NV). NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners or users.",Insufficient Information,10/25/2022,"USER: Drove from Wells NV to Livermore CA. All three of my GPS units experienced major off-track (hundreds of feet horizontal) offset errors, and my GPS logger recorded +5000-ft to -2000-ft altitude errors. Speed was at times reported at HALF the actual speed. This was a MAJOR disruption recorded on three independent GPS units. The time and coords I report are for the greatest elevation error (reported me at 10000-ft altitude in Elko NV). ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners or users.",2022-06-09,US EKO,US NV,US KKY,US NV,US EKO,US
06/09/2022 19:10:00 EST,"NE Washington, DC",Other,"USER: I was using the Phone for navigation in Google Maps. I was mid-route when the map suddenly showed my location as several hundred meters west of my true location. As I continued to drive, it appeared to get worse. I reset the device but it did not correct the problem. I checked my location in an alternate mapping program and it continued to display the wrong location. My phone’s software is up to date. This has never happened before. The problem appeared to resolve approximately 30 minutes later on its own, after I arrived at my destination. It’s unclear if my location was corrected because I was on wifi at my destination or if it’s because the gps issue resolved. NAVCEN sent data mapping information.",Mapping Issue,09/13/2022,"USER: I was using the Phone for navigation in Google Maps. I was mid-route when the map suddenly showed my location as several hundred meters west of my true location. As I continued to drive, it appeared to get worse. I reset the device but it did not correct the problem. I checked my location in an alternate mapping program and it continued to display the wrong location. My phone’s software is up to date. This has never happened before. The problem appeared to resolve approximately 30 minutes later on its own, after I arrived at my destination. It’s unclear if my location was corrected because I was on wifi at my destination or if it’s because the gps issue resolved. ", sent data mapping information.,2022-06-09,US NE,US WA,,,US NE,US
06/08/2022 12:00:00 EST,Eastern Peru,Aviation,"USER: On 6 occurrences over 90 minutes, GPS lost contact with all or all but 1 ( hard to tell if it was all and by the time I got to settings page, one had already reconnected ) Aircraft was tracking W and then NW between Puerto Esperanza and Pucallpa. On flight down in the morning, no anomalies notes. We have flown that route several times over the past month or more and had no interference issues. Same configurations, same frequencies, same aircraft. All reacquired within 30 seconds aprox. Hardware showed no signs of error and cabling/antenna checked out. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,10/25/2022,"USER: On 6 occurrences over 90 minutes, GPS lost contact with all or all but 1 ( hard to tell if it was all and by the time I got to settings page, one had already reconnected ) Aircraft was tracking W and then NW between Puerto Esperanza and Pucallpa. On flight down in the morning, no anomalies notes. We have flown that route several times over the past month or more and had no interference issues. Same configurations, same frequencies, same aircraft. All reacquired within 30 seconds aprox. Hardware showed no signs of error and cabling/antenna checked out. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. User encouraged to report the issue to the nearest communication authority.",2022-06-08,PE,PE,ML,ML,PE,PE
05/28/2022 19:40 GMT,ISKENDERUN/MERSIN BAY,Marine,"USER: On 28th May 2022 at 1940Z during trading in ISKENDERUN/MERSIN BAY was noticed that GPS signal totally lost from (GPS1 & GPS2) simultaneously and all the integrated equipments alarming due to position lost. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,07/06/2022,USER: On 28th May 2022 at 1940Z during trading in ISKENDERUN/MERSIN BAY was noticed that GPS signal totally lost from (GPS1 & GPS2) simultaneously and all the integrated equipments alarming due to position lost. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",2022-05-28,TR ISK,TR 33,,,TR ISK,TR
